code,auc,N,variance,outcome,z_score,p_2tail,model
Childbirth,3.991312527062886,3971,2.0348981955951015,cognitive,2.0652066278603565,0.03890345367778779,conditional
Friend_died,-0.7746743369403953,9281,0.25169993158213083,cognitive,-1.420653120590434,0.15541762734998885,conditional
Home_lost,-5.176507818762153,1315,12.32666064463336,cognitive,-0.3645851648445252,0.7154210904411271,conditional
Relative_died,0.26906667077421054,11411,0.26128500647834146,cognitive,1.1697233085245304,0.24211233500992124,conditional
Widowed,-3.0446029887057398,1213,6.64439899336424,cognitive,-0.2592976087357614,0.7954056242858408,conditional
Money_gained,4.815605800479115,3796,1.5173306306649288,cognitive,1.6908603993483529,0.09086346819002518,conditional
Money_lost,-6.934703404074588,3375,1.085229876965717,cognitive,-0.7121602563665645,0.47636554462909303,conditional
Fired,-2.5801516340094404,3870,1.459331376232864,cognitive,-1.6049674170991473,0.1085009754195295,conditional
Family_harmed,-0.7400039058860974,12102,0.17673130179615032,cognitive,0.7452787495161355,0.45610322491545713,conditional
Health_shock,-4.4214234275067605,8244,0.32624153369951026,cognitive,1.7075738156413147,0.08771545036675812,conditional
Relative_jailed,-2.0266830182570823,1484,2.012012932662976,cognitive,-1.0808139826840517,0.2797798673106909,conditional
Jailed,-2.4234855510292395,336,24.889937709934806,cognitive,-0.4191477741235972,0.6751081376572189,conditional
Hired,-1.362321890660435,10023,0.22671939192600188,cognitive,-1.0715907229278123,0.2839039020254446,conditional
Married,4.092067737052184,3425,3.3273474645568535,cognitive,2.768185205023011,0.005636941234564462,conditional
Moved,-1.4019287125856037,12347,0.17914579240104783,cognitive,-2.8119687371334625,0.004923928885089348,conditional
Robbed,-1.1612953132856638,5015,1.019706688342322,cognitive,0.5378097594032034,0.5907083935837472,conditional
Pregnant,-1.254807467927012,4485,1.1183939387128976,cognitive,0.2917167035565031,0.7705032368614106,conditional
Promoted,-0.5746381414013667,5669,0.5022429773655095,cognitive,-1.1858787018910115,0.23567020519075352,conditional
Reconciled,2.746043383327511,1370,5.722234398108135,cognitive,0.8635130207273053,0.38785546358658385,conditional
Retired,4.099392741997736,2818,1.4909673615724823,cognitive,2.0468227125713834,0.040675494771749324,conditional
Separated,-7.170252323055207,4225,1.1310505337904557,cognitive,-2.7090709782992866,0.006747190366696569,conditional
Attacked,-0.9791199420653723,1821,2.6163384996940513,cognitive,0.48847224288479735,0.6252153818962426,conditional
Childbirth,-0.28098630975363553,4158,2.244633285848585,affective,2.0652066278603565,0.03890345367778779,conditional
Friend_died,0.24344402426631767,9734,0.26189465828641817,affective,-1.420653120590434,0.15541762734998885,conditional
Home_lost,-3.333140587482989,1447,13.237158705590026,affective,-0.3645851648445252,0.7154210904411271,conditional
Relative_died,-0.5942522384200856,12060,0.28343862780673545,affective,1.1697233085245304,0.24211233500992124,conditional
Widowed,-2.0476644942024915,1271,8.137822584729278,affective,-0.2592976087357614,0.7954056242858408,conditional
Money_gained,1.8193198210337387,4059,1.6228238829349508,affective,1.6908603993483529,0.09086346819002518,conditional
Money_lost,-5.88497840006248,3445,1.0874493772254232,affective,-0.7121602563665645,0.47636554462909303,conditional
Fired,0.22430727928833918,4058,1.593942228803833,affective,-1.6049674170991473,0.1085009754195295,conditional
Family_harmed,-1.186471088631666,12725,0.18214237767000663,affective,0.7452787495161355,0.45610322491545713,conditional
Health_shock,-5.813473936588361,8592,0.3383441991827738,affective,1.7075738156413147,0.08771545036675812,conditional
Relative_jailed,0.2143511961471827,1562,2.287260479450887,affective,-1.0808139826840517,0.2797798673106909,conditional
Jailed,0.9325786903951502,335,39.22012512399321,affective,-0.4191477741235972,0.6751081376572189,conditional
Hired,-0.636912280596662,10479,0.23153719814676324,affective,-1.0715907229278123,0.2839039020254446,conditional
Married,-3.0852692226690492,3715,3.3952388241168565,affective,2.768185205023011,0.005636941234564462,conditional
Moved,0.3134144396247048,12986,0.19297252649245814,affective,-2.8119687371334625,0.004923928885089348,conditional
Robbed,-1.9411970902829574,5327,1.0832119098739266,affective,0.5378097594032034,0.5907083935837472,conditional
Pregnant,-1.6901019327679172,4689,1.1082137010341804,affective,0.2917167035565031,0.7705032368614106,conditional
Promoted,0.638785092601573,6012,0.5447507361937973,affective,-1.1858787018910115,0.23567020519075352,conditional
Reconciled,-0.3553985066599284,1407,7.177759821887913,affective,0.8635130207273053,0.38785546358658385,conditional
Retired,0.494563422462612,3029,1.6107981189971854,affective,2.0468227125713834,0.040675494771749324,conditional
Separated,-3.0584846576023024,4381,1.1725987774003481,affective,-2.7090709782992866,0.006747190366696569,conditional
Attacked,-2.138239693671317,1885,3.0145487612515085,affective,0.48847224288479735,0.6252153818962426,conditional
Childbirth,2.0922802667920286,3971,0.9588191367443364,cognitive,3.1289439939119665,0.001754357434072325,unconditional
Friend_died,-1.4073973721904167,9281,0.24972310805131398,cognitive,-1.1299703415309301,0.2584887219112918,unconditional
Home_lost,-6.121044464756917,1315,11.457990906819541,cognitive,-0.10795126066083979,0.9140343545416316,unconditional
Relative_died,-0.4319489292200688,11411,0.2539706944573467,cognitive,1.3659490672282413,0.17195495032774571,unconditional
Widowed,-3.398072562543214,1213,6.169469129853873,cognitive,-0.28805199657091535,0.7733069370743031,unconditional
Money_gained,4.21558316736202,3796,1.4022992166176056,cognitive,1.4553932740872129,0.1455604173725911,unconditional
Money_lost,-8.626201241166072,3375,0.9956494844954151,cognitive,-0.7828481878402497,0.43371626625554693,unconditional
Fired,-3.7891854968680865,3870,1.228946284628804,cognitive,-1.5629131418952389,0.11807302611825132,unconditional
Family_harmed,-1.5294817846158302,12102,0.1709807768805671,cognitive,1.0990615657179894,0.2717412128468213,unconditional
Health_shock,-4.94904663601184,8244,0.3243254070849435,cognitive,1.7271182554889923,0.0841464276572205,unconditional
Relative_jailed,-2.332839259203426,1484,2.1287456988990483,cognitive,-0.609388860334912,0.542266719868248,unconditional
Jailed,-1.416261161331094,336,22.671602172217277,cognitive,0.9770142711655582,0.3285620871886869,unconditional
Hired,-2.6543724190728746,10023,0.20631244988329758,cognitive,-2.5684161389895723,0.010216442852716001,unconditional
Married,6.433145366296847,3425,3.3396022226741406,cognitive,3.245560066645934,0.0011721983243481318,unconditional
Moved,-2.575792993935692,12347,0.16506865872886362,cognitive,-3.522767112771816,4.2706644959569556e-4,unconditional
Robbed,-1.7235785504383043,5015,0.9870325337117107,cognitive,0.4906371540915544,0.623683103240369,unconditional
Pregnant,1.5485860028766552,4485,0.4666636696143498,cognitive,3.197938498215274,0.0013841379664054439,unconditional
Promoted,-0.21948280484138755,5669,0.48532806929005684,cognitive,-1.3003389555228473,0.1934848221035385,unconditional
Reconciled,-1.3512272794884115,1370,4.6627377225375675,cognitive,0.9092434882387329,0.3632216133166645,unconditional
Retired,3.8143653795819885,2818,1.3953548839042553,cognitive,2.633755630985801,0.008444624097024095,unconditional
Separated,-7.844834832895837,4225,0.9699994678121504,cognitive,-2.5391925898168415,0.011110864135979698,unconditional
Attacked,-3.2906074276752846,1821,2.49980403825843,cognitive,0.8492423446382932,0.3957464553517543,unconditional
Childbirth,-2.32154809412062,4158,1.0310994224335626,affective,3.1289439939119665,0.001754357434072325,unconditional
Friend_died,-0.5924160159633762,9734,0.27046600452509,affective,-1.1299703415309301,0.2584887219112918,unconditional
Home_lost,-5.596174702616229,1447,12.182019889569634,affective,-0.10795126066083979,0.9140343545416316,unconditional
Relative_died,-1.418707328862943,12060,0.2678876739252527,affective,1.3659490672282413,0.17195495032774571,unconditional
Widowed,-2.323479967570745,1271,7.747539849437056,affective,-0.28805199657091535,0.7733069370743031,unconditional
Money_gained,1.7192690575676877,4059,1.5396673695111756,affective,1.4553932740872129,0.1455604173725911,unconditional
Money_lost,-7.520369763313145,3445,0.9997175595694624,affective,-0.7828481878402497,0.43371626625554693,unconditional
Fired,-1.2634675679972032,4058,1.3826137160109502,affective,-1.5629131418952389,0.11807302611825132,unconditional
Family_harmed,-2.178624342783068,12725,0.17786713175461105,affective,1.0990615657179894,0.2717412128468213,unconditional
Health_shock,-6.354031999475176,8592,0.3374329745201315,affective,1.7271182554889923,0.0841464276572205,unconditional
Relative_jailed,-1.063694608317868,1562,2.208691754913024,affective,-0.609388860334912,0.542266719868248,unconditional
Jailed,-8.599531152343479,335,31.384230976392633,affective,0.9770142711655582,0.3285620871886869,unconditional
Hired,-1.0002960472715459,10479,0.20843176348379433,affective,-2.5684161389895723,0.010216442852716001,unconditional
Married,-2.1228066410133675,3715,3.6099588734047976,affective,3.245560066645934,0.0011721983243481318,unconditional
Moved,-0.5170381472700926,12986,0.17647120641629893,affective,-3.522767112771816,4.2706644959569556e-4,unconditional
Robbed,-2.4242692468216283,5327,1.0525056334271354,affective,0.4906371540915544,0.623683103240369,unconditional
Pregnant,-1.5782024513551782,4689,0.4893338924054642,affective,3.197938498215274,0.0013841379664054439,unconditional
Promoted,1.0980973121139472,6012,0.5413656807067185,affective,-1.3003389555228473,0.1934848221035385,unconditional
Reconciled,-4.269958953801147,1407,5.641786474875788,affective,0.9092434882387329,0.3632216133166645,unconditional
Retired,-0.7475007648233274,3029,1.6047339985619176,affective,2.633755630985801,0.008444624097024095,unconditional
Separated,-4.254089021984243,4381,1.0297612862755354,affective,-2.5391925898168415,0.011110864135979698,unconditional
Attacked,-5.217771885737466,1885,2.649805182073694,affective,0.8492423446382932,0.3957464553517543,unconditional
